Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"600809","SHANXI XINGHUACUN FEN WINE FACTORY","Consumer Staples","Equity","3,732,842.81","0.02","3,732,842.81","153,200.00","24.37","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"CRC.R","CENTRAL RETAIL CORPORATION PCL NON","Consumer Discretionary","Equity","3,710,298.07","0.02","3,710,298.07","3,706,534.00","1.00","Thailand","Stock Exchange Of Thailand","USD","34.47","THB","-"
"HAPV3","HAPVIDA PARTICIPACOES E INVESTIMEN","Health Care","Equity","3,693,961.68","0.02","3,693,961.68","9,956,546.00","0.37","Brazil","XBSP","USD","6.04","BRL","-"
"EREGL.E","EREGLI DEMIR VE CELIK FABRIKALARI","Materials","Equity","3,690,263.20","0.02","3,690,263.20","5,690,583.00","0.65","Turkey","Istanbul Stock Exchange","USD","35.56","TRY","-"
"3998","BOSIDENG INTERNATIONAL LTD","Consumer Discretionary","Equity","3,685,696.85","0.02","3,685,696.85","7,796,000.00","0.47","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"2883","CHINA OILFIELD SERVICES LTD H","Energy","Equity","3,657,186.90","0.02","3,657,186.90","3,816,000.00","0.96","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"ATHM","AUTOHOME ADS REPRESENTING INC CLA","Communication","Equity","3,655,827.70","0.02","3,655,827.70","132,218.00","27.65","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPB","PPB GROUP","Consumer Staples","Equity","3,653,083.44","0.02","3,653,083.44","1,383,260.00","2.64","Malaysia","Bursa Malaysia","USD","4.51","MYR","-"
"600309","WANHUA CHEMICAL GROUP LTD A","Materials","Equity","3,644,672.78","0.02","3,644,672.78","389,291.00","9.36","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","Industrials","Equity","3,643,207.83","0.02","3,643,207.83","2,067,315.00","1.76","Brazil","XBSP","USD","6.04","BRL","-"
"MABANEE","MABANEE COMPANY","Real Estate","Equity","3,622,453.34","0.02","3,622,453.34","1,427,700.00","2.54","Kuwait","Kuwait Stock Exchange","USD","0.31","KWD","-"
"036570","NCSOFT CORP","Communication","Equity","3,612,306.20","0.02","3,612,306.20","28,967.00","124.70","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"7202","ARABIAN INTERNET AND COMMUNICATION","Information Technology","Equity","3,603,141.52","0.02","3,603,141.52","46,457.00","77.56","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"CPAXT.R","CP AXTRA NON-VOTING DR PCL","Consumer Staples","Equity","3,596,119.48","0.02","3,596,119.48","4,273,802.00","0.84","Thailand","Stock Exchange Of Thailand","USD","34.47","THB","-"
"1929","CHOW TAI FOOK JEWELLERY GROUP LTD","Consumer Discretionary","Equity","3,579,495.24","0.02","3,579,495.24","4,115,600.00","0.87","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"2250","SAUDI INDUSTRIAL INVESTMENT GROUP","Materials","Equity","3,559,408.43","0.02","3,559,408.43","739,474.00","4.81","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"601225","SHAANXI COAL INDUSTRY LTD A","Energy","Equity","3,558,146.29","0.02","3,558,146.29","1,188,476.00","2.99","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"1044","HENGAN INTERNATIONAL GROUP LTD","Consumer Staples","Equity","3,552,271.02","0.02","3,552,271.02","1,323,000.00","2.69","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"TEL","PLDT INC","Communication","Equity","3,544,863.74","0.02","3,544,863.74","160,518.00","22.08","Philippines","Philippine Stock Exchange Inc.","USD","58.64","PHP","-"
"200596","ANHUI GUJING DISTILLERY LTD B","Consumer Staples","Equity","3,542,858.32","0.02","3,542,858.32","246,800.00","14.36","China","Shenzhen Stock Exchange","USD","7.78","HKD","-"
"002371","NAURA TECHNOLOGY GROUP LTD A","Information Technology","Equity","3,515,529.39","0.02","3,515,529.39","66,300.00","53.02","China","Shenzhen Stock Exchange","USD","7.33","CNY","-"
"241560","DOOSAN BOBCAT INC","Industrials","Equity","3,509,828.86","0.02","3,509,828.86","113,960.00","30.80","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"QL","QL RESOURCES","Consumer Staples","Equity","3,478,593.87","0.02","3,478,593.87","3,437,400.00","1.01","Malaysia","Bursa Malaysia","USD","4.51","MYR","-"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Industrials","Equity","3,475,021.85","0.02","3,475,021.85","395,145.00","8.79","Mexico","Bolsa Mexicana De Valores","USD","20.69","MXN","-"
"CHDRAUIB","GRUPO COMERCIAL CHEDRAUI","Consumer Staples","Equity","3,471,029.46","0.02","3,471,029.46","598,219.00","5.80","Mexico","Bolsa Mexicana De Valores","USD","20.69","MXN","-"
"INARI","INARI AMERTRON","Information Technology","Equity","3,441,884.15","0.02","3,441,884.15","5,681,000.00","0.61","Malaysia","Bursa Malaysia","USD","4.51","MYR","-"
"601127","SERES GROUP LTD A","Consumer Discretionary","Equity","3,420,846.85","0.02","3,420,846.85","185,600.00","18.43","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"ENELCHILE","ENEL CHILE SA","Utilities","Equity","3,417,952.57","0.02","3,417,952.57","59,416,391.00","0.06","Chile","Santiago Stock Exchange","USD","1,008.25","CLP","-"
"600028","CHINA PETROLEUM & CHEMICAL CORP A","Energy","Equity","3,412,957.11","0.02","3,412,957.11","4,021,089.00","0.85","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"CPLE6","CIA PARANAENSE DE ENERGIA COPEL PR","Utilities","Equity","3,397,026.91","0.02","3,397,026.91","2,241,518.00","1.52","Brazil","XBSP","USD","6.04","BRL","-"
"GENTING","GENTING","Consumer Discretionary","Equity","3,391,044.61","0.02","3,391,044.61","4,232,700.00","0.80","Malaysia","Bursa Malaysia","USD","4.51","MYR","-"
"002714","MUYUAN FOODS LTD A","Consumer Staples","Equity","3,388,173.78","0.02","3,388,173.78","676,739.00","5.01","China","Shenzhen Stock Exchange","USD","7.33","CNY","-"
"2382","ADES HOLDING CO","Energy","Equity","3,379,356.35","0.02","3,379,356.35","682,419.00","4.95","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"NESTLE","NESTLE MALAYSIA","Consumer Staples","Equity","3,377,742.57","0.02","3,377,742.57","165,400.00","20.42","Malaysia","Bursa Malaysia","USD","4.51","MYR","-"
"2633","TAIWAN HIGH SPEED RAIL CORP","Industrials","Equity","3,359,374.95","0.02","3,359,374.95","4,074,000.00","0.82","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"ELET6","CENTRAIS ELETR BRAS-ELETROBRAS PRE","Utilities","Equity","3,358,411.20","0.02","3,358,411.20","522,866.00","6.42","Brazil","XBSP","USD","6.04","BRL","-"
"2615","WAN HAI LINES LTD","Industrials","Equity","3,350,317.96","0.02","3,350,317.96","1,440,090.00","2.33","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"2380","CHINA POWER INTERNATIONAL DEVELOPM","Utilities","Equity","3,350,648.45","0.02","3,350,648.45","9,056,000.00","0.37","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"MONET","MONETA MONEY BNK","Financials","Equity","3,311,858.84","0.02","3,311,858.84","597,632.00","5.54","Czech Republic","Prague Stock Exchange","USD","24.51","CZK","-"
"YTL","YTL CORPORATION","Utilities","Equity","3,297,101.86","0.02","3,297,101.86","6,783,900.00","0.49","Malaysia","Bursa Malaysia","USD","4.51","MYR","-"
"KLBF","KALBE FARMA","Health Care","Equity","3,278,420.00","0.02","3,278,420.00","43,797,015.00","0.07","Indonesia","Indonesia Stock Exchange","USD","16,365.00","IDR","-"
"2588","BOC AVIATION LTD","Industrials","Equity","3,263,803.08","0.02","3,263,803.08","438,400.00","7.44","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"601857","PETROCHINA LTD A","Energy","Equity","3,260,628.39","0.02","3,260,628.39","2,706,100.00","1.20","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"BRES","BARWA REAL ESTATE","Real Estate","Equity","3,233,560.80","0.02","3,233,560.80","4,258,009.00","0.76","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"271560","ORION CORP","Consumer Staples","Equity","3,226,812.64","0.02","3,226,812.64","47,807.00","67.50","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"CSAN3","COSAN INDUSTRIA E COMERCIO SA","Energy","Equity","3,227,678.42","0.02","3,227,678.42","2,376,516.00","1.36","Brazil","XBSP","USD","6.04","BRL","-"
"601919","COSCO SHIPPING HOLDINGS LTD A","Industrials","Equity","3,211,629.15","0.02","3,211,629.15","1,648,164.00","1.95","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"1208","MMG LTD","Materials","Equity","3,210,430.69","0.02","3,210,430.69","9,021,600.00","0.36","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"601818","CHINA EVERBRIGHT BANK LTD A","Financials","Equity","3,193,822.32","0.02","3,193,822.32","6,308,703.00","0.51","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"002352","S.F. HOLDING LTD A","Industrials","Equity","3,183,145.32","0.02","3,183,145.32","587,435.00","5.42","China","Shenzhen Stock Exchange","USD","7.33","CNY","-"
"HMPRO.R","HOME PRODUCT CENTER NON-VOTING DR","Consumer Discretionary","Equity","3,178,939.26","0.02","3,178,939.26","12,106,314.00","0.26","Thailand","Stock Exchange Of Thailand","USD","34.47","THB","-"
"600690","HAIER SMART HOME LTD A","Consumer Discretionary","Equity","3,168,597.08","0.02","3,168,597.08","842,541.00","3.76","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"600887","INNER MONGOLIA YILI INDUSTRIAL GRO","Consumer Staples","Equity","3,159,874.46","0.02","3,159,874.46","815,370.00","3.88","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"601988","BANK OF CHINA LTD A","Financials","Equity","3,160,394.63","0.02","3,160,394.63","4,249,600.00","0.74","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"ICBP","INDOFOOD CBP SUKSES MAKMUR","Consumer Staples","Equity","3,159,259.55","0.02","3,159,259.55","4,776,100.00","0.66","Indonesia","Indonesia Stock Exchange","USD","16,365.00","IDR","-"
"600919","BANK OF JIANGSU CORPORATION LTD A","Financials","Equity","3,131,662.40","0.02","3,131,662.40","2,351,410.00","1.33","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"047050","POSCO INTERNATIONAL CORP","Industrials","Equity","3,118,270.12","0.02","3,118,270.12","106,463.00","29.29","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"603288","FOSHAN HAI TIAN FLAVOURING & FOOD","Consumer Staples","Equity","3,115,549.03","0.02","3,115,549.03","538,356.00","5.79","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"600406","NARI TECHNOLOGY LTD A","Industrials","Equity","3,099,487.79","0.02","3,099,487.79","988,854.00","3.13","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"2223","SAUDI ARAMCO BASE OIL COMPANY","Materials","Equity","3,092,451.17","0.02","3,092,451.17","102,138.00","30.28","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"032640","LG UPLUS CORP","Communication","Equity","3,083,233.49","0.02","3,083,233.49","435,974.00","7.07","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"011070","LG INNOTEK LTD","Information Technology","Equity","3,073,920.29","0.02","3,073,920.29","28,309.00","108.58","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"SISE.E","TURKIYE SISE VE CAM FABRIKALARI A","Industrials","Equity","3,071,337.08","0.02","3,071,337.08","2,749,647.00","1.12","Turkey","Istanbul Stock Exchange","USD","35.56","TRY","-"
"066970","L&F LTD","Industrials","Equity","3,053,628.97","0.02","3,053,628.97","51,885.00","58.85","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"601985","CHINA NATIONAL NUCLEAR POWER LTD A","Utilities","Equity","3,042,620.39","0.02","3,042,620.39","2,364,500.00","1.29","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
